room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
12215914,1454,65705918,Entire home/apt,,Belgium,Antwerpen,Antwerpen,36,5.0,3,0.0,,59.0,,Cosy Atelier With City Garden,2017-07-14 17:16:33.232088,51.215339,4.439895,0101000020E610000018B2BAD573C21140D446753A909B4940
15093443,1454,12981319,Entire home/apt,,Belgium,Antwerpen,Antwerpen,3,4.5,2,1.0,,53.0,,Bright and charming apartment in Antwerp City,2017-07-14 17:16:33.228971,51.221025,4.430711,0101000020E61000001D1CEC4D0CB91140984C158C4A9C4940
13389072,1454,37927175,Entire home/apt,,Belgium,Antwerpen,Antwerpen,20,4.5,4,2.0,,58.0,,Historical appart in center with sunny terrace,2017-07-14 17:16:33.220327,51.219567,4.429095,0101000020E61000002C82FFAD64B71140F2237EC51A9C4940
1444602,1454,7755956,Entire home/apt,,Belgium,Antwerpen,Antwerpen,8,4.5,2,1.0,,59.0,,Ground floor appartment with garden,2017-07-14 17:16:28.029575,51.207941,4.428386,0101000020E6100000CC41D0D1AAB61140AF3F89CF9D9A4940
17136061,1454,8460671,Entire home/apt,,Belgium,Antwerpen,Antwerpen,11,4.5,3,1.0,,59.0,,House for 3 near tram station,2017-07-14 17:16:28.027371,51.228219,4.426756,0101000020E6100000B37C5D86FFB41140B5A9BA47369D4940
17446927,1454,70704491,Entire home/apt,,Belgium,Antwerpen,Mortsel,1,0.0,2,1.0,,59.0,,Luxe appartement met groot terras,2017-07-14 17:16:28.024944,51.171003,4.469905,0101000020E610000053E8BCC62EE111404A42226DE3954940
13128147,1454,17066284,Entire home/apt,,Belgium,Antwerpen,Antwerpen,5,5.0,2,1.0,,59.0,,"Cosy apartment in Zurenborg, Antwerp",2017-07-14 17:16:28.016770,51.203554,4.434396,0101000020E6100000880D164ED2BC1140287CB60E0E9A4940
8423451,1454,8323768,Entire home/apt,,Belgium,Antwerpen,Antwerpen,2,0.0,1,1.0,,44.0,,Cosy apartment Zurenborg,2017-07-14 17:16:28.013979,51.207017,4.430581,0101000020E6100000AC1DC539EAB81140A75B76887F9A4940
11635330,1454,61665170,Entire home/apt,,Belgium,Antwerpen,Mortsel,1,0.0,2,1.0,,47.0,,Appartement met ruime keuken,2017-07-14 17:16:28.009742,51.173999,4.445372,0101000020E61000006937FA980FC81140B344679945964940
10004342,1454,20834836,Entire home/apt,,Belgium,Antwerpen,Antwerpen,6,4.5,3,1.0,,53.0,,Cosy apartment close to the park,2017-07-14 17:16:28.003805,51.180983,4.424457,0101000020E6100000AC3B16DBA4B21140E41071732A974940
